commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
TRIGNAC,Fermé,94.99Z,Activités des organisations associatives,Autres activités de services,2016-08-28,2020-11-15
NANTES,Fermé,74.10Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2021-09-01,2021-12-31
LA PLAINE-SUR-MER,Fermé,47.64Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-11-30,2020-09-16
ARNAGE,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2019-11-14,2022-07-01
ANCENIS-SAINT-GEREON,Fermé,82.20Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2017-01-13,2017-12-01
BEAUPREAU-EN-MAUGES,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2017-01-08,2017-06-01
PANNECE,Fermé,81.30Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2017-01-05,2019-01-31
NANTES,Fermé,85.59B,Enseignement,Enseignement,2017-01-25,2020-12-31
CERANS-FOULLETOURTE,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2017-02-10,2018-05-28
NANTES,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2017-03-23,2020-12-31
NANTES,Fermé,74.90B,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2017-04-10,2018-05-21
LUCON,Fermé,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2018-06-06,2020-06-01
LES SABLES D'OLONNE,Fermé,46.69C,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2017-04-29,2020-01-02
VERTOU,Actif,32.13Z,Autres industries manufacturières,Industrie manufacturière,2023-01-11,
NANTES,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2009-10-02,
NANTES,Actif,82.11Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2020-11-05,
TREIZE-SEPTIERS,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2012-06-05,
SAINT-MARS-DU-DESERT,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2018-02-15,
NANTES,Actif,88.99B,Action sociale sans hébergement,Santé humaine et action sociale,2012-03-23,
LES SABLES D'OLONNE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2018-11-26,
SAUMUR,Actif,96.02B,Autres services personnels,Autres activités de services,2024-03-16,
FALLERON,Actif,68.20A,Activités immobilières,Activités immobilières,2025-01-01,
LA CROIXILLE,Actif,90.03A,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2014-08-05,
NANTES,Actif,85.42Z,Enseignement,Enseignement,2023-02-01,
CARQUEFOU,Actif,68.20B,Activités immobilières,Activités immobilières,2023-07-06,
HERIC,Actif,81.30Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2021-01-21,
CHATEAUNEUF,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2021-01-20,
SAINT-LEGER-LES-VIGNES,Actif,68.20B,Activités immobilières,Activités immobilières,1996-09-30,
SAINT-NAZAIRE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2014-03-12,
OMBREE D'ANJOU,Actif,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2017-04-01,
LONGUE-JUMELLES,Fermé,94.99Z,Activités des organisations associatives,Autres activités de services,1900-01-01,2023-10-12
SAINT-BARTHELEMY-D ANJOU,Fermé,71.12B,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2006-06-01,2008-11-26
LES PONTS-DE-CE,Fermé,74.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1997-10-17,1999-07-27
LONGUE-JUMELLES,Actif,85.31Z,Enseignement,Enseignement,1900-01-01,
MAMERS,Fermé,47.82Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2015-02-06,2017-10-01
ANGERS,Fermé,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2021-01-14,2024-04-04
ESSARTS-EN-BOCAGE,Fermé,47.24Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-01-04,2016-02-01
SAINT-BREVIN-LES-PINS,Actif,68.20B,Activités immobilières,Activités immobilières,2018-11-05,
VOUILLE-LES-MARAIS,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1998-04-01,
LAVAL,Actif,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2014-03-01,
LONGUE-JUMELLES,Actif,47.91B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2024-04-01,
TOUVOIS,Actif,68.20B,Activités immobilières,Activités immobilières,2007-07-13,
CHOLET,Actif,68.20A,Activités immobilières,Activités immobilières,2022-04-25,
LE MANS,Fermé,47.91B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2019-08-15,2020-08-31
VERRIERES-EN-ANJOU,Fermé,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,2014-08-01,2015-08-18
GORRON,Fermé,75.1A,Administration publique,Administration publique,1993-12-17,2001-12-20
SAINT-GILDAS-DES-BOIS,Actif,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2023-04-01,
SAINT-GERMAIN-DES-PRES,Actif,96.09Z,Autres services personnels,Autres activités de services,2018-05-28,
NANTES,Actif,70.21Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2021-09-01,
CHALLANS,Actif,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2018-12-01,
FAY-DE-BRETAGNE,Actif,68.20B,Activités immobilières,Activités immobilières,2022-11-11,
LE MANS,Actif,56.10C,Restauration,Hébergement et restauration,2021-07-18,
BRETIGNOLLES-SUR-MER,Fermé,70.2A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1989-01-01,2000-12-31
BLANDOUET-SAINT JEAN,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2023-06-02,
ANGERS,Fermé,55.3B,Hôtels et restaurants,Hôtels et restaurants,2004-03-31,2005-07-10
CROSMIERES,Fermé,82.11Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2017-08-01,2019-11-26
NANTES,Actif,25.99B,"Fabrication de produits métalliques, à l'exception des machines et des équipements",Industrie manufacturière,2023-07-01,
LES SABLES D'OLONNE,Fermé,70.2A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1996-01-01,2000-12-31
CHATEAU-GONTIER-SUR-MAYENNE,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2018-12-01,2020-06-01
SAINT-ETIENNE-DE-MONTLUC,Actif,68.20B,Activités immobilières,Activités immobilières,2022-02-18,
BEAUFORT-EN-ANJOU,Actif,45.11Z,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2024-03-01,
ANGERS,Actif,68.20A,Activités immobilières,Activités immobilières,2018-03-21,
OREE-D'ANJOU,Actif,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2022-01-01,
LE PERRIER,Fermé,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,2011-08-11,2012-01-03
LAVAL,Actif,68.20A,Activités immobilières,Activités immobilières,2014-04-30,
LES HERBIERS,Actif,95.29Z,Réparation d'ordinateurs et de biens personnels et domestiques,Autres activités de services,2024-04-14,
LE PERRIER,Fermé,56.10C,Restauration,Hébergement et restauration,2009-05-11,2014-01-16
LA FERRIERE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2018-03-15,
NANTES,Fermé,74.8K,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1996-05-28,2005-10-06
NANTES,Fermé,74.4B,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1991-07-01,
LE MANS,Fermé,92.3A,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",2002-12-03,2006-03-06
NANTES,Actif,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,2016-11-01,
COMMEQUIERS,Actif,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2022-10-01,
LE MANS,Fermé,59.11,Commerce de gros inter-industriel,Commerce de matériel et mobilier de bureau,,1986-12-31
SAINT-CHRISTOPHE-DU-BOIS,Actif,36.00Z,"Captage, traitement et distribution d'eau","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",1999-12-25,
PONT-SAINT-MARTIN,Actif,68.20B,Activités immobilières,Activités immobilières,2003-02-01,
PORNIC,Actif,68.20B,Activités immobilières,Activités immobilières,2016-04-18,
FONTENAY-LE-COMTE,Fermé,25.99A,"Fabrication de produits métalliques, à l'exception des machines et des équipements",Industrie manufacturière,2024-02-01,2024-12-06
INDRE,Actif,46.69A,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2022-05-09,
LES SABLES D'OLONNE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2021-11-17,
MAYET,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2003-01-16,
TERRANJOU,Actif,93.19Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2014-09-15,
PORNICHET,Actif,68.20B,Activités immobilières,Activités immobilières,2020-04-30,
GUENROUET,Actif,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1998-01-01,
VALLET,Actif,46.11Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2024-10-09,
AIZENAY,Actif,43.39Z,Travaux de construction spécialisés,Construction,2021-06-01,
LA ROCHE-SUR-YON,Fermé,74.5B,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2003-09-01,2006-04-30
BEAULIEU-SUR-LAYON,Actif,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2018-04-20,
LES SABLES D'OLONNE,Actif,68.20B,Activités immobilières,Activités immobilières,2019-12-15,
SAINT-LYPHARD,Actif,49.41A,Transports terrestres et transport par conduites,Transports et entreposage,2003-01-02,
GROSBREUIL,Fermé,74.8K,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1999-10-01,2007-07-09
ROUILLON,Fermé,62.02A,"Programmation, conseil et autres activités informatiques",Information et communication,2022-07-04,2022-10-31
CHOLET,Fermé,85.59B,Enseignement,Enseignement,2022-09-01,2023-08-31
TIERCE,Fermé,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2022-10-01,2022-12-01
BOUVRON,Fermé,74.10Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2022-09-03,2023-11-22
NANTES,Fermé,01.21Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2022-09-15,2024-12-15
CHALLAIN-LA-POTHERIE,Fermé,01.49Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2022-10-10,2024-09-15
BEAUVOIR-SUR-MER,Fermé,82.11Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2024-05-03,2024-11-26
TREILLIERES,Fermé,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2024-10-01,2024-10-03
NANTES,Fermé,68.20A,Activités immobilières,Activités immobilières,2024-09-13,2024-09-24
NANTES,Fermé,96.09Z,Autres services personnels,Autres activités de services,2024-11-08,2024-11-19
NANTES,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2023-01-13,2023-04-01
CHATEAUBRIANT,Fermé,53.20Z,Activités de poste et de courrier,Transports et entreposage,2023-03-01,2023-12-30
BEAUMONT PIED DE BOEUF,Fermé,33.20B,Réparation et installation de machines et d'équipements,Industrie manufacturière,2023-03-17,2024-01-17
GRANDCHAMP-DES-FONTAINES,Fermé,60.2L,Transports et communications,Transports et communications,,1993-03-24
MONTBERT,Fermé,96.02B,Autres services personnels,Autres activités de services,2023-09-04,2024-11-25
BATZ-SUR-MER,Fermé,47.91A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2023-03-29,2023-11-13
SAINT-GEORGES-SUR-LOIRE,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2023-05-10,2023-07-31
CARQUEFOU,Fermé,96.02A,Autres services personnels,Autres activités de services,2023-06-09,2023-09-06
ANGERS,Fermé,47.91B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2024-09-09,2025-02-04
SAINT-LEGER-LES-VIGNES,Fermé,70.21Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2023-06-18,2023-12-05
SAINT-LAMBERT-LA-POTHERIE,Fermé,77.29Z,Activités de location et location-bail,Activités de services administratifs et de soutien,2023-07-08,2024-03-20
LE MANS,Fermé,45.11Z,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2024-02-01,2024-10-31
LIGNE,Fermé,95.11Z,Réparation d'ordinateurs et de biens personnels et domestiques,Autres activités de services,2023-12-01,2024-04-13
ANGERS,Actif,68.20A,Activités immobilières,Activités immobilières,2017-01-01,
SAINT-BERTHEVIN,Fermé,68.20B,Activités immobilières,Activités immobilières,2009-10-01,2019-03-01
ORVAULT,Fermé,52.2J,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2000-11-10,
DANGEUL,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1988-01-01,2006-02-28
CHAILLE-LES-MARAIS,Fermé,85.3J,Santé et action sociale,Santé et action sociale,1900-01-01,2007-01-01
PORNICHET,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2017-08-24,
CHANVERRIE,Fermé,70.21Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2024-07-15,2024-09-01
NANTES,Fermé,74.4B,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2000-08-01,2001-03-01
LES SABLES D'OLONNE,Actif,68.20A,Activités immobilières,Activités immobilières,2019-01-01,
